amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha_x,beta,sharpe_ratio_x,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,sharpe_ratio_y,alpha_y,max_drawdown,alpha_rank,expense_rank,dd_rank,return_rank,sharpe_rank,fund_score
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,24.93,22.38,23.8,20.54,1.84,0.97,0.9,1.47,25.0,-23.61,41613,1.53,5,Very High,40.99051386018987,0.08739405416437364,-0.3544691649336603,26.0,28.5,38.0,3.0,28.0,66.01714731098987
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,22.01,1.13,1.04,0.93,1.67,25.0,-24.78,36061,0.72,4,Very High,-14.41102970870135,0.036564483226444115,-0.5257422117012851,37.0,5.5,40.0,2.0,32.0,64.92595479345283
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,14.42,12.33,14.72,10.63,1.7,1.02,0.88,1.48,14.0,-18.14,39475,0.72,3,Moderate,162.59227444991703,0.16718831196539002,-0.18629743138595511,19.0,5.5,26.0,27.0,21.0,64.14653156664068
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,19.98,15.29,15.85,14.39,0.9,1.04,0.8,1.38,19.0,-32.22,18792,0.78,4,High,75.75420410272206,0.11678914817770145,-0.21117279560132118,24.0,10.0,29.0,14.0,27.0,62.82151208106001
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,16.67,14.76,12.6,14.21,0.55,0.92,0.98,1.5,15.0,-21.89,2571,1.41,4,Moderately High,163.51745143228823,0.16266498938623947,-0.1982565826298267,21.0,19.0,27.0,18.0,20.0,62.82151208106001
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,11.48,13.38,13.48,12.25,1.13,0.97,0.96,1.45,14.0,-33.5,10611,0.92,4,Moderate,195.4991429549224,0.17621131692863742,-0.15200013055606398,18.0,14.0,18.0,24.0,18.0,59.8597038191738
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,21.3,20.15,21.88,19.35,0.8,1.03,0.81,1.14,25.0,-30.87,43630,1.53,4,Very High,113.00537024506583,0.17678165727412135,-0.2334488614483311,17.0,28.5,32.0,5.0,26.0,58.846453624317995
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,9.52,1.78,0.87,0.81,1.29,14.0,-24.43,1231,0.66,3,Moderate,240.22643321023463,0.18662199010568994,-0.11803493502764295,16.0,4.0,11.0,34.0,12.0,56.43024162120032
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,14.82,13.78,12.86,12.44,1.34,1.03,0.98,1.25,14.0,-15.07,23500,1.6,5,Moderate,258.85775862459315,0.19588302857820067,-0.11291596329323073,14.0,36.5,9.0,22.0,9.0,56.19641465315666
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,12.42,12.36,14.45,11.49,0.87,0.89,0.88,1.29,14.0,-21.7,14288,1.54,4,Moderate,304.4831749779248,0.2073263591371475,-0.1501238549864533,12.0,30.5,17.0,26.0,4.0,54.48168355416991
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.91,14.56,15.68,12.86,1.7,0.99,0.91,1.55,16.0,-33.15,49046,1.52,5,Moderately High,233.42441137747568,0.22806881533159593,-0.1527259422823477,9.0,26.5,19.0,19.0,15.0,53.390491036632895
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,15.84,14.0,14.7,13.14,0.86,0.88,1.0,1.68,14.0,-16.07,20909,1.51,4,Moderate,272.57811319511745,0.2054891735037691,-0.17414075086657232,13.0,24.5,23.0,21.0,8.0,52.61106780982073
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,11.16,13.58,14.26,13.04,0.54,0.98,0.8,1.03,17.0,-22.62,2989,1.6,5,High,311.20236649513106,0.27656459001034156,-0.1639674294693263,4.0,36.5,21.0,23.0,3.0,49.96102883865938
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,14.88,15.18,18.94,13.76,1.42,1.0,0.8,1.18,19.0,-32.38,28996,1.38,5,High,251.55420868963765,0.235060146020265,-0.20960883862039192,8.0,17.0,28.0,15.0,11.0,44.27123928293062
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.12,14.41,13.02,13.53,0.88,1.03,1.03,1.27,14.0,-26.59,41553,0.8,3,Moderate,258.68411976942366,0.21190285331422157,-0.12588275606922517,11.0,12.0,12.0,20.0,10.0,42.7123928293063
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,14.12,17.16,19.0,16.14,1.02,0.98,0.9,1.5,19.0,-26.99,37835,1.61,4,High,285.2947068236306,0.2684189448971993,-0.17248105753451382,5.0,38.0,22.0,9.0,6.0,40.84177708495712
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.2,20.08,20.61,19.39,0.69,0.98,0.8,1.23,25.0,-17.01,35124,1.52,4,Very High,239.34854781472396,0.3066399825026621,-0.31171900300634214,1.0,26.5,37.0,6.0,13.0,40.29618082618862
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,22.16,1.23,0.89,0.94,1.35,25.0,-13.35,19259,1.43,5,Very High,238.21768089393362,0.29685056779371416,-0.2870600572176455,2.0,21.0,36.0,1.0,14.0,34.13873733437256
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,15.12,14.81,12.68,13.19,1.62,0.96,1.06,1.66,14.0,-17.07,11361,1.46,5,Moderate,364.96937492221747,0.25363242404338915,-0.11265729075028275,6.0,23.0,8.0,17.0,1.0,33.67108339828527
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,15.43,16.58,17.69,15.63,0.95,0.91,0.87,1.44,19.0,-13.67,23185,1.38,5,High,275.612083370727,0.24981207460007154,-0.16217208574644848,7.0,17.0,20.0,10.0,7.0,33.3593141075604
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.74,15.65,13.5,13.8,1.85,0.95,0.98,1.57,16.0,-19.5,35012,1.45,5,Moderately High,329.2994803247959,0.22782802790206255,-0.1297396816518679,10.0,22.0,13.0,11.0,2.0,32.42400623538581
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,14.02,18.08,17.55,17.19,0.89,1.0,0.95,1.45,19.0,-21.84,979,1.36,3,High,297.3855018104836,0.291907359627426,-0.18188513572116294,3.0,15.0,25.0,8.0,5.0,28.05923616523772
